Atributo,Entropia
Sexo,0.9750464384429841
Apoio_Familiar,0.7006139387476383
Apoio_de_Amigos,0.8989030338612245
Tipo_de_Trabalho,0.7673842926810199
Curso_Mais_Elevado,0.6766079482553459
A005010,0.47542336561392207
Estado_de_Saude,0.6810669881755118
Pratica_Exercicio,0.9442823076470568
Exercicio_Mais_Frequente,0.45422552912663944
Ultima_Consulta_Medica,0.4419700673928943
Procura_Atendimento_Saude,0.7605022573374819
Problemas_Sono,0.7456827047971407
Consumo_Arroz_Macarrao,0.46086676246781916
Consumo_Batata,0.9722213830859208
Consumo_Feijao,0.7478641852002679
Consumo_Carne,0.4262684345340236
Consumo_Ovo,0.9745525811817346
Consumo_Verduras_1,0.9986050937284516
Consumo_Verduras_2,0.9659019704395119
Consumo_Verduras_3,0.9719580269432749
Consumo_Frutas_1,0.9248908549302097
Consumo_Frutas_2,0.9631847403846884
Consumo_Leite,0.9917028946870711
Consumo_Castanhas,0.5617128704366429
Consumo_Refrigerante,0.821282453448795
Consumo_Suco_Caixinha,0.7018284037619281
Consumo_Bebida_Achocolatada,0.488411039051566
Consumo_Salgadinho_Biscoito,0.7242853454188495
Consumo_Biscoito_Doce,0.6832990106211653
Consumo_Sobremesa,0.6026544097411339
Consumo_Embutidos,0.7637845144003688
Consumo_Pao,0.8424857431787504
Consumo_Molhos_Industrializados,0.9654913151164628
Consumo_Alimentos_Prontos,0.2631429150988227
Freq_Consumo_Feijao,0.7682189797912276
Freq_Consumo_Verduras,0.8567277569785502
Tipo_Verdura_Costuma_Comer,0.5484428447091109
Freq_Consumo_Carne_Vermelha,0.9431239174837084
Freq_Consumo_Frango,0.9000990503591189
Freq_Consumo_Peixe,0.7071173607639086
Freq_Consumo_Suco_Caixinha,0.541851600547697
Freq_Consumo_Suco_Natural,0.9147967601958307
Freq_Consumo_Frutas,0.9029519397437129
Freq_Comer_Frutas_Dia,0.6978073093475827
Freq_Consumo_Refrigerante,0.6093546199459223
Freq_Consumo_Leite,0.7790841855702733
Tipo_Leite,0.7548373715162308
Freq_Consumo_Doces,0.7165976248509345
Freq_Substituicao_Refeicao,0.31420651899893604
trabalhou,0.9691924645850839
doencas_cronicas,0.8843633005791384
saneamento_basico,0.11012768734778847
moradia_vulneravel,0.6331327621979549
frequencia_exercicio,0.6336491157763019
freq_bebida_alcoolica,0.8277786096047649
